press,title,len_before,len_after,reduction_pct
kbc광주방송,"KIA, 12안타 때려내고도 SSG에 5:8 패배..연승 행진 마감",988,988,0.0
kbc광주방송,"'17년 만에 WBC 1차전 승리' 한국 야구, 체코에 7점 차 대승",412,412,0.0
TV조선,"'날카로운 창' 삼성, 인천에서 먼저 웃었다…홈런 두 방으로 준PO 1승",880,873,0.8
TV조선,"김혜성, WBC 합류 앞두고 홈런 '쾅'…""류지현호, 타격감 잡았다""",866,853,1.5
TV조선,"KBO 새 역사 폰세, 선발 15연승·최소 경기 200탈삼진…'우상' 류",746,736,1.34
TV조선,"야구 대표팀, 한신과 무승부…1번 타자 김도영 대형 솔로포 '쾅'",923,914,0.98
TV조선,"""밥 잘 사주는 현진이형""…사이판에서 빛나는 류현진의 '형님 리더십'",715,701,1.96
채널A,"SSG 김성욱, 9회말 극적 끝내기 한방",627,592,5.58
채널A,"[스포츠A]삼성, NC 잡고 준PO 진출",468,447,4.49
채널A,[스포츠A]롤렉스 시계 받은 김현수,246,220,10.57
채널A,[스포츠A]가을야구 5위의 반란…승부는 내일로,595,587,1.34
채널A,17년 만에 WBC 8강행…‘도쿄의 기적’,834,807,3.24
스포티비뉴스,"플로리얼 생각나면 큰일이야… 풀 죽은 방망이 PS서 살아날까, 이 선수에",2065,2015,2.42
스포티비뉴스,"목메인 김현수 ""의도치 않게 시끄럽게 오래 시간 걸려"" 이적 과정 사과,",2500,2448,2.08
스포티비뉴스,"KKKKKKK 스위퍼가 춤을 췄다, 역전승 발판…롯데 158km 에이스 ",2027,1968,2.91
스포티비뉴스,김성근 얼마나 뿌듯할까…SK 왕조 모임에 KBO 현역 사령탑이 2명이나 ,1124,1072,4.63
스포티비뉴스,40대 투수에 3년 25억이 아까워? 이자까지 받을 판인데요… 감독이 ',2145,2084,2.84
스포츠서울,"아마야구 빛낸 인물이 한자리에! 개성고 강영은, 영예의 이영민 타격상…‘",1884,1758,6.69
스포츠서울,어깨 통증 지웠다! 문동주 156㎞ ‘쾅’…한화 에이스 복귀 ‘신호탄’ ,1626,1588,2.34
스포츠서울,"‘역사 또 역사’ 김광현, KBO 최초 ‘12번째 10승’ 위업…역대 3",1954,1891,3.22
스포츠서울,"블루웨이브 행사·애장품 수익으로…삼성 선수단, ‘1억1600만원’ 사회공",669,625,6.58
스포츠서울,“불펜은 수월한 편인데…” 팀 ERA 2위 SSG도 ‘선발 육성’은 난제,1733,1629,6.0
뉴시스,"한화, 7-6으로 키움 꺾고 전날 패배 설욕…황영묵 3타점 맹타",1898,1792,5.58
뉴시스,"황재균, 20년 프로 생활 마감…""늘 노력하던 선수로 기억되길""(종합)",1780,1589,10.73
뉴시스,[KBO 내일의 선발투수]9월4일(목),180,171,5.0
뉴시스,"'5연승 질주' LG 염경엽 감독 ""문성주 중요한 상황에 적시타…구본혁 ",1256,1119,10.91
뉴시스,"엄상백, 부진에 팔꿈치 수술…한화의 78억 투자, 실패작 되나",2274,1803,20.71
